Sentences,Labels
did serfdom develop and leave russia ,DESC:manner
films featured character popeye doyle ,ENTY:cremat
can find list celebrities  real names ,DESC:manner
fowl grabs spotlight the chinese year the monkey ,ENTY:animal
is full form .com ,ABBR:exp
contemptible scoundrel stole cork my lunch ,HUM:ind
team baseball s st. louis browns become ,HUM:gr
is oldest profession ,HUM:title
are liver enzymes ,DESC:def
name scar-faced bounty hunter the old west .,HUM:ind
was ozzy osbourne born ,NUM:date
do heavier objects travel downhill faster ,DESC:reason
was pride the yankees ,HUM:ind
killed gandhi ,HUM:ind
is considered costliest disaster insurance industry ever faced ,ENTY:event
sprawling u.s. state boasts most airports ,LOC:state
did only repealed amendment the u.s. constitution deal ,DESC:desc
many jews executed concentration camps wwii ,NUM:count
is  nine inch nails  ,DESC:def
is annotated bibliography ,DESC:def
is date boxing day ,NUM:date
articles clothing tokens monopoly ,ENTY:other
name 11 famous martyrs .,HUM:ind
s olympic motto ,DESC:desc
is origin the name  scarlett  ,DESC:desc
s second-most-used vowel english ,ENTY:letter
was inventor silly putty ,HUM:ind
is highest waterfall the united states ,LOC:other
name golf course myrtle beach .,ENTY:other
two states enclose chesapeake bay ,LOC:state
does abbreviation aids stand ,ABBR:exp
does spermologer collect ,ENTY:other
many points make a perfect fivepin bowling score ,NUM:count
company manufactures video-game hardware sells  super system  ,HUM:gr
many community chest cards there monopoly ,NUM:count
do mormons believe ,DESC:desc
did neanderthal man live ,NUM:date
what religion isis nature goddess ,ENTY:religion
do adventures  swiss family robinson  take place ,LOC:other
relative the racoon sometimes known the cat-bear ,ENTY:animal
can register website yahoo free ,DESC:manner
was cash-conscious colonel edwin l. drake first drill ,ENTY:other
many people the world speak french ,NUM:count
many inches six feet the venus de milo ,NUM:count
do find choose witnesses an execution ,DESC:manner
1920s cowboy star rode tony wonder horse ,HUM:ind
cocktail inspired john doxat write book stirred-not shaken ,ENTY:food
isps exist the caribbean ,HUM:gr
do ask total stranger on date ,DESC:manner
weapon the mythological character apollo proficient ,ENTY:other
country the galapagos islands belong ,LOC:country
is ethology ,DESC:def
was prophet the muslim people ,HUM:ind
did term  86ed  come ,DESC:desc
is snoopy s arch-enemy ,HUM:ind
is nature learning ,DESC:def
s only color johnny cash wears stage ,ENTY:color
s term a young fox ,ENTY:termeq
u.s. state lived six flags ,LOC:state
is kashmir issue ,DESC:def
is loop ,LOC:other
does  extended definition  mean how one write paper it ,DESC:def
country s capital tirana ,LOC:country
is titanium ,DESC:def
do herb tootsie live next door ,HUM:ind
city the oldest relationship a sister city los angeles ,LOC:city
is caldera ,DESC:def
do people get calluses ,DESC:reason
are names the tourist attractions reims ,LOC:other
are cushman wakefield known ,DESC:reason
body water the danube river flow ,LOC:other
is founder scientology ,HUM:ind
does six-footed musca domestica become it enters house ,ENTY:other
is history skateboarding ,DESC:desc
starred singing the rain the singing nun ,HUM:ind
do make fuel bricks recycled newspaper ,DESC:manner
19th-century painter died the marquesas islands ,HUM:ind
corpus callosum in part the body ,ENTY:body
do log to home page headquarters u.s. european command ,DESC:manner
country the nazis occupy 1  cd nns nnp nnp nnp .,LOC:country
is nebraska s valuable resource ,ENTY:other
many species the great white shark there ,NUM:count
is origin head lice ,DESC:desc
is nickname the state mississippi ,LOC:state
was first domesticated bird ,ENTY:animal
many villi found the small intestine ,NUM:count
country king wenceslas rule ,LOC:country
is fear shadows ,ENTY:dismed
were five marx brothers ,HUM:ind
which year new zealand excluded the anzus alliance ,NUM:date
did cnn begin broadcasting ,NUM:date
causes body shiver cold temperatures ,DESC:reason
are bear bull markets ,DESC:def
j.r.r. tolkien book features bilbo baggins the central character ,ENTY:cremat
is  dew point  ,DESC:def
is meaning jesus ,DESC:def
company s logo a  w  a circle ,HUM:gr
is definition a cascade ,DESC:def
did rococo painting architecture flourish ,NUM:date
country s national passenger rail system called via ,LOC:country
invented make-up ,HUM:ind
is origin the word  attic  ,DESC:desc
did delilah to samson s hair ,DESC:desc
kind animals in paleozoic era ,ENTY:animal
of following rhodes scholar ,HUM:ind
comprised now-defunct comic book team known the champions ,HUM:ind
do make paintball ,DESC:manner
u.s. state fort knox ,LOC:state
is female rabbit called ,ENTY:animal
is highest point japan ,LOC:mount
do chihuahuas come ,DESC:desc
does barney rubble go work he drops fred in  flintstones  cartoon series ,LOC:other
are world s four oceans ,LOC:other
s only work michelangelo bears signature ,ENTY:cremat
is largest snake the world ,ENTY:animal
what medium stuart hamblen considered be first singing cowboy ,ENTY:cremat
on internet can find song lyrics database similar the international lyrics server ,LOC:other
much money a back injury lawsuit get ,NUM:money
s common name acetylsalicylic acid ,ENTY:termeq
does georgetown  hoya  mean ,DESC:def
can find list  classic  books 5th 6th graders read ,LOC:other
two products use tiger their symbol ,ENTY:product
is election a new pope announced the world ,DESC:manner
long it take your blood make one complete trip the body ,NUM:period
do chickens baby chicks ,DESC:manner
is historical relationship catholic church bingo ,DESC:desc
was element calcium named ,DESC:manner
crooner joined andrews sisters pistol packin mama ,HUM:ind
piano company claims product the  instrument the immortals  ,HUM:gr
did bounty mutiny take place ,NUM:date
novel inspired movie bladerunner ,ENTY:cremat
is transistor ,DESC:def
is film starring jude law ,ENTY:cremat
hollywood dog died the arms jean harlow 1932 ,ENTY:animal
are most common elements the earth s crust ,ENTY:substance
much it cost purchase 2-foot-square party tent  sides  ,NUM:money
actress received most oscar nominations ,HUM:ind
are equity securities ,DESC:def
is gymnophobia ,DESC:def
many years fossils take form ,NUM:count
is orinoco ,LOC:other
was name the  little rascals  dog ,ENTY:animal
city boasts penn s landing  the banks the delaware river ,LOC:city
broadway musical inspired cervantes s don quixote ,ENTY:cremat
